title,link,keyword
Warung pecel,https://www.google.com/maps/place/Warung+pecel/data=!4m7!3m6!1s0x2da155ac27ec7e6d:0xe9a706512dd23485!8m2!3d-5.3083567!4d123.137647!16s%2Fg%2F11t53bk6zr!19sChIJbX7sJ6xVoS0RhTTSLVEGp-k?authuser=0&hl=en&rclk=1,restaurants
Kios hafis,https://www.google.com/maps/place/Kios+hafis/data=!4m7!3m6!1s0x2da155a57f3977a3:0x2df8add2da51041e!8m2!3d-5.3076686!4d123.1355458!16s%2Fg%2F11sqwb_pvn!19sChIJo3c5f6VVoS0RHgRR2tKt-C0?authuser=0&hl=en&rclk=1,restaurants
RUMAH MEGA,https://www.google.com/maps/place/RUMAH+MEGA/data=!4m7!3m6!1s0x2da155b08961b3d5:0xf258c46061ef605b!8m2!3d-5.3455171!4d123.1066842!16s%2Fg%2F11rvgs9bkm!19sChIJ1bNhibBVoS0RW2DvYWDEWPI?authuser=0&hl=en&rclk=1,restaurants
Ραɳԃҽ Ƈҽʅʅ,https://www.google.com/maps/place/%CE%A1%CE%B1%C9%B3%D4%83%D2%BD+%C6%87%D2%BD%CA%85%CA%85/data=!4m7!3m6!1s0x2da15522331c4a51:0x9ffcaf5d4d902acb!8m2!3d-5.32116!4d123.1060148!16s%2Fg%2F11r4ppgtk8!19sChIJUUocMyJVoS0RyyqQTV2v_J8?authuser=0&hl=en&rclk=1,restaurants
Warung makan barokah,https://www.google.com/maps/place/Warung+makan+barokah/data=!4m7!3m6!1s0x2da15589f617e8cb:0xbf0409df86c469a4!8m2!3d-5.3276314!4d123.1614646!16s%2Fg%2F11frmnzc_c!19sChIJy-gX9olVoS0RpGnEht8JBL8?authuser=0&hl=en&rclk=1,restaurants
AREA GAS TABRAK GANTI H MAMAD,https://www.google.com/maps/place/AREA+GAS+TABRAK+GANTI+H+MAMAD/data=!4m7!3m6!1s0x2da6ab14cc628be9:0x23fbb5c0d718bdbc!8m2!3d-5.3767891!4d123.1334185!16s%2Fg%2F11hh62ytlq!19sChIJ6YtizBSrpi0RvL0Y18C1-yM?authuser=0&hl=en&rclk=1,restaurants
Warung Makan Coto Makasar,https://www.google.com/maps/place/Warung+Makan+Coto+Makasar/data=!4m7!3m6!1s0x2da155561cdebe39:0x85374a23c4268647!8m2!3d-5.3106542!4d123.1601547!16s%2Fg%2F11fqctf2tn!19sChIJOb7eHFZVoS0RR4YmxCNKN4U?authuser=0&hl=en&rclk=1,restaurants
Warung Kopi,https://www.google.com/maps/place/Warung+Kopi/data=!4m7!3m6!1s0x2da155b609832545:0x90951bdee8bdcf7b!8m2!3d-5.3183497!4d123.1635392!16s%2Fg%2F11fm59b811!19sChIJRSWDCbZVoS0Re8-96N4blZA?authuser=0&hl=en&rclk=1,restaurants
Loket Pembayaran Listrik Online,https://www.google.com/maps/place/Loket+Pembayaran+Listrik+Online/data=!4m7!3m6!1s0x2da155539942594b:0x776d37ac4c6122f7!8m2!3d-5.3019734!4d123.1608082!16s%2Fg%2F11fn1_7pg6!19sChIJS1lCmVNVoS0R9yJhTKw3bXc?authuser=0&hl=en&rclk=1,restaurants
Warung Makan Rita,https://www.google.com/maps/place/Warung+Makan+Rita/data=!4m7!3m6!1s0x2da1551736cccd67:0x41f8d7736c8e0d8e!8m2!3d-5.3183898!4d123.1657522!16s%2Fg%2F11h46g87t3!19sChIJZ83MNhdVoS0Rjg2ObHPX-EE?authuser=0&hl=en&rclk=1,restaurants
